entrez	symbol	CMPO
11328	FKBP9	CMPO:0000157
11328	FKBP9	CMPO:0000318
11331	PHB2	CMPO:0000182
11334	TUSC2	CMPO:0000182
11335	CBX3	CMPO:0000182
11338	U2AF2	CMPO:0000213
11338	U2AF2	CMPO:0000157
11338	U2AF2	CMPO:0000182
11338	U2AF2	CMPO:0000156
11338	U2AF2	CMPO:0000083
11338	U2AF2	CMPO:0000326
11339	OIP5	CMPO:0000213
1134	CHRNA1	CMPO:0000318
11340	EXOSC8	CMPO:0000129
11343	MGLL	CMPO:0000182
11343	MGLL	CMPO:0000157
11345	GABARAPL2	CMPO:0000319
1135	NA	CMPO:0000346
1135	NA	CMPO:0000318
113612	CYP2U1	CMPO:0000246
1137	CHRNA4	CMPO:0000318
1137	CHRNA4	CMPO:0000319
1138	CHRNA5	CMPO:0000307
1138	CHRNA5	CMPO:0000346
1138	CHRNA5	CMPO:0000202
1138	CHRNA5	CMPO:0000030
1138	CHRNA5	CMPO:0000348
1138	CHRNA5	CMPO:0000157
113802	HENMT1	CMPO:0000318
114	ADCY8	CMPO:0000345
114088	TRIM9	CMPO:0000318
1141	CHRNB2	CMPO:0000318
114134	SLC2A13	CMPO:0000083
114134	SLC2A13	CMPO:0000105
1143	CHRNB4	CMPO:0000319
1143	CHRNB4	CMPO:0000318
1144	CHRND	CMPO:0000319
1145	CHRNE	CMPO:0000236
1146	CHRNG	CMPO:0000345
1146	CHRNG	CMPO:0000318
114757	CYGB	CMPO:0000318
114757	CYGB	CMPO:0000319
114770	PGLYRP2	CMPO:0000083
114791	TUBGCP5	CMPO:0000346
114791	TUBGCP5	CMPO:0000318
114791	TUBGCP5	CMPO:0000182
114803	MYSM1	CMPO:0000083
114815	SORCS1	CMPO:0000318
114815	SORCS1	CMPO:0000030
114824	PNMA5	CMPO:0000318
114824	PNMA5	CMPO:0000319
1149	CIDEA	CMPO:0000318
115019	SLC26A9	CMPO:0000030
115019	SLC26A9	CMPO:0000345
115106	HAUS1	CMPO:0000202
115106	HAUS1	CMPO:0000326
115106	HAUS1	CMPO:0000182
115106	HAUS1	CMPO:0000348
115106	HAUS1	CMPO:0000307
115106	HAUS1	CMPO:0000157
1152	CKB	CMPO:0000241
1152	CKB	CMPO:0000318
115201	ATG4A	CMPO:0000362
115201	ATG4A	CMPO:0000319
1153	CIRBP	CMPO:0000182
1153	CIRBP	CMPO:0000318
1153	CIRBP	CMPO:0000319
1154	CISH	CMPO:0000182
