Entrez Gene Interactor A,Entrez Gene Interactor B
4087,79753
79753,2033
79753,1387
2033,79753
1387,4776
1387,4776
9252,5594
9252,5600
3659,8850
8850,3659
7270,8850
7322,4734
7323,4734
7324,4734
7322,7337
7323,7337
7324,9604
7324,9025
9604,9604
9025,9025
5364,9826
9826,5364
5364,9826
10450,4297
4297,4297
4297,10450
10450,4297
4297,4297
4297,4297
4297,4297
4297,4297
8726,3065
3065,8726
8726,3065
51176,2033
51176,2033
51176,2033
5970,1387
1387,5970
2033,5970
1387,5970
2033,5970
5970,2033
1387,5970
2033,5970
5465,2033
6886,2033
6886,2033
2033,6886
5757,2033
2033,5757
1387,8850
1387,1024
1024,1387
1024,8850
8850,1387
1387,8850
1024,6601
6732,6426
6426,6732
5499,2932
29883,26986
29883,26986
10140,26986
10140,29883
5568,6262
5567,6262
6262,6262
6262,5567
6262,5568
6262,5499
6262,5500
6262,9472
4292,5395
4292,5395
90390,9442
90390,10001
90390,112950
90390,29079
112950,80145
2885,6464
2885,7410
2885,29127
2885,3872
2885,3875
5163,5164
308,2222
396,23327
10425,3785
93974,1107
9564,1870
9564,10278
23774,7431
56893,8883
10436,54977
10436,10657
7203,8892
80279,1400
1123,2975
10063,5473
11269,1633
57062,617
57062,3646
57062,54903
57062,3326
57062,7167
57062,7419
3646,9001
2261,3191
2261,55819
2512,7786
11345,23192
10362,3191
3189,311
3189,6191
3308,79577
3692,8481
3692,23032
3897,8682
4291,2901
4715,2661
23636,3550
29993,11143
5861,6624
5861,23539
9400,11325
10073,7140
6142,4023
6204,9001
10856,2222
6303,11194
6303,125476
8402,1314
23557,3915
9627,51608
9627,10044
54476,54476
7324,5047
7372,10602
10425,2029
10425,3566
10425,5518
10425,6511
51608,5347
55755,59343
1031,2661
51076,51076
1298,9001
1316,2975
1316,23649
1396,9001
1880,9112
8894,1400
2167,7431
2261,2975
2261,23649
54908,2874
22927,7431
3146,1400
11078,7431
3692,5160
3692,6128
23286,79577
3835,2661
4043,23649
4097,7431
9500,5347
4171,6191
10200,2661
4773,7431
4809,2975
4809,23649
80145,1107
10081,9001
5216,7088
5432,55284
5498,9001
5717,2661
5861,55312
5863,11143
9400,5347
6204,3092
6204,11143
6303,8703
6303,1107
6303,2661
6303,22929
6421,6421
6628,5684
6637,2661
8878,8878
9319,1400
9319,9319
7316,7345
83549,83549
7431,7431
55339,11143
7518,1107
7518,7431
7518,7518
23028,2661
51593,1107
51593,28964
51593,7431
56893,6256
57761,2661
57761,28964
6362,7088
55755,9001
1031,7088
57062,28964
57062,23649
1822,11143
2203,2203
2261,293
2512,2512
8880,1400
2874,1107
2948,7088
22927,1107
10542,28964
3117,7088
10362,7431
